Project Identifier,Complexity_Level,Completeness_Level,Open_Threats,Open_Opportunities
E1,1,2,55,11
E2,1,2,10,3
E3,2,2,21,0
E4,2,3,3,0
E5,2,1,8,0
E6,1,3,10,3
E7,2,2,20,0
E8,1,3,11,0
E9,2,3,9,0
E10,2,1,10,3
E11,1,2,28,2
E12,2,3,9,0
E13,1,2,10,4
E14,1,2,4,3
E15,1,3,6,0
E16,1,3,7,0
E17,1,3,5,0
E18,2,2,4,0
E19,2,3,5,2
E20,1,3,12,0
E21,2,2,14,2
E22,1,2,27,1
E23,1,2,11,0
E24,1,3,10,2
E25,1,3,4,5
E26,2,1,10,8
E27,1,3,13,0
E28,2,1,47,0
E29,2,2,49,2
E30,2,1,20,0
E31,2,2,14,0
E32,1,3,4,0
E33,2,2,41,0
E34,1,2,32,0
E35,3,2,14,0
E36,3,1,10,0
E37,3,1,18,0
E38,3,1,5,0
E39,2,2,131,1
E40,1,3,6,0
E41,1,2,9,0
E42,2,2,9,0
E43,2,2,8,0
E44,1,2,12,0
E45,2,2,27,0
E46,1,2,40,0
E47,1,2,8,0
E48,1,2,58,0
E49,2,2,11,0
E50,2,2,5,0
E51,2,2,10,0
E52,2,2,27,0
E53,2,2,14,0
E54,2,2,10,0
E55,2,2,10,0
E56,2,2,8,0
H1,3,2,124,7
H2,2,3,14,4
H3,2,3,3,1
H4,2,2,56,4
H5,2,3,1,0
H6,2,3,3,0
H7,2,3,2,0
H8,2,3,28,3
H9,3,1,36,2
H10,1,2,24,2
H11,1,1,1,0
H12,3,2,17,0
H13,1,2,29,0
H14,1,2,7,0
H15,2,2,11,0
H16,2,2,17,2
H17,2,2,13,0
H18,1,2,9,0
H19,3,2,37,0
H20,2,3,10,1
H21,2,3,6,1
H22,2,2,23,0
H23,3,2,38,1
H24,3,2,11,0
H25,3,2,5,0
H26,3,1,30,2
H27,2,1,18,0
H28,2,1,41,3
H29,1,1,5,0
